  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.500   0.0909   0.01207   0.00493  -0.1060   0.8224   0.1670
  -3.000   0.1451   0.01164   0.00454  -0.1054   0.8023   0.1961
  -2.500   0.1995   0.01129   0.00422  -0.1049   0.7813   0.2322
  -2.000   0.2536   0.01099   0.00396  -0.1043   0.7592   0.2761
  -1.500   0.3070   0.01072   0.00378  -0.1036   0.7360   0.3314
  -1.000   0.3591   0.01035   0.00363  -0.1028   0.7124   0.4161
  -0.500   0.4074   0.00980   0.00366  -0.1012   0.6890   0.6097
   0.000   0.4524   0.00941   0.00381  -0.0982   0.6663   0.7963
   0.500   0.5103   0.00946   0.00398  -0.0973   0.6443   0.9365
   1.000   0.6026   0.00975   0.00407  -0.1046   0.6222   0.9906
   1.500   0.6694   0.01001   0.00411  -0.1071   0.6030   1.0000
   2.000   0.7151   0.01027   0.00422  -0.1052   0.5854   1.0000
   2.500   0.7623   0.01059   0.00437  -0.1035   0.5699   1.0000
   3.000   0.8104   0.01091   0.00459  -0.1020   0.5549   1.0000
   3.500   0.8595   0.01125   0.00485  -0.1006   0.5404   1.0000
   4.000   0.9093   0.01161   0.00513  -0.0995   0.5265   1.0000
   4.500   0.9596   0.01200   0.00545  -0.0984   0.5130   1.0000
   5.000   1.0099   0.01240   0.00580  -0.0974   0.4996   1.0000
   5.500   1.0601   0.01283   0.00618  -0.0964   0.4861   1.0000
   6.000   1.1083   0.01324   0.00661  -0.0950   0.4715   1.0000
   6.500   1.1557   0.01366   0.00705  -0.0935   0.4564   1.0000
   7.000   1.2021   0.01412   0.00748  -0.0919   0.4408   1.0000
   7.500   1.2456   0.01456   0.00798  -0.0897   0.4233   1.0000
   8.000   1.2871   0.01507   0.00848  -0.0872   0.4055   1.0000
   8.500   1.3253   0.01558   0.00907  -0.0842   0.3854   1.0000
   9.000   1.3581   0.01620   0.00972  -0.0802   0.3645   1.0000
   9.500   1.3877   0.01702   0.01054  -0.0760   0.3418   1.0000
  10.000   1.4147   0.01809   0.01160  -0.0717   0.3173   1.0000
  10.500   1.4396   0.01941   0.01291  -0.0674   0.2898   1.0000
  11.000   1.4595   0.02114   0.01459  -0.0629   0.2607   1.0000
  11.500   1.4747   0.02333   0.01672  -0.0584   0.2304   1.0000
  12.000   1.4850   0.02610   0.01941  -0.0540   0.1999   1.0000
