  
       XFOIL         Version 6.99
  
 Calculated polar for: Custom airfoil                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2143   0.01195   0.00517  -0.0558   0.9559   0.1754
  -3.500  -0.1453   0.01115   0.00463  -0.0586   0.9456   0.2386
  -3.000  -0.0845   0.01044   0.00419  -0.0594   0.9310   0.3131
  -2.500  -0.0268   0.00967   0.00377  -0.0595   0.9148   0.4057
  -2.000   0.0249   0.00891   0.00348  -0.0582   0.8944   0.5371
  -1.500   0.0747   0.00829   0.00329  -0.0561   0.8716   0.6722
  -1.000   0.1234   0.00788   0.00320  -0.0534   0.8459   0.7873
  -0.500   0.1733   0.00774   0.00319  -0.0506   0.8176   0.8795
   0.000   0.2342   0.00784   0.00322  -0.0503   0.7871   0.9405
   0.500   0.3116   0.00804   0.00322  -0.0540   0.7537   0.9744
   1.000   0.4022   0.00822   0.00318  -0.0611   0.7173   0.9935
   1.500   0.4678   0.00836   0.00311  -0.0633   0.6798   1.0000
   2.000   0.5152   0.00855   0.00311  -0.0616   0.6449   1.0000
   2.500   0.5625   0.00880   0.00319  -0.0599   0.6117   1.0000
   3.000   0.6099   0.00909   0.00334  -0.0582   0.5799   1.0000
   3.500   0.6573   0.00942   0.00354  -0.0564   0.5487   1.0000
   4.000   0.7045   0.00977   0.00378  -0.0546   0.5172   1.0000
   4.500   0.7516   0.01016   0.00406  -0.0527   0.4843   1.0000
   5.000   0.7990   0.01057   0.00439  -0.0510   0.4495   1.0000
   5.500   0.8461   0.01104   0.00477  -0.0493   0.4115   1.0000
   6.000   0.8926   0.01158   0.00520  -0.0475   0.3667   1.0000
   6.500   0.9374   0.01231   0.00575  -0.0456   0.3125   1.0000
   7.000   0.9798   0.01329   0.00648  -0.0435   0.2499   1.0000
   7.500   1.0193   0.01457   0.00744  -0.0411   0.1840   1.0000
   8.000   1.0566   0.01606   0.00863  -0.0384   0.1291   1.0000
   8.500   1.0923   0.01762   0.01000  -0.0355   0.0960   1.0000
   9.000   1.1265   0.01918   0.01149  -0.0324   0.0770   1.0000
   9.500   1.1576   0.02082   0.01313  -0.0289   0.0653   1.0000
  10.000   1.1833   0.02250   0.01485  -0.0246   0.0575   1.0000
  10.500   1.2059   0.02440   0.01681  -0.0203   0.0516   1.0000
  11.000   1.2269   0.02657   0.01907  -0.0163   0.0471   1.0000
  11.500   1.2462   0.02904   0.02163  -0.0127   0.0435   1.0000
  12.000   1.2646   0.03181   0.02438  -0.0095   0.0405   1.0000
