  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2143   0.01196   0.00517  -0.0558   0.9559   0.1753
  -3.500  -0.1454   0.01116   0.00463  -0.0586   0.9456   0.2386
  -2.500  -0.0268   0.00967   0.00377  -0.0595   0.9148   0.4056
  -1.500   0.0747   0.00829   0.00329  -0.0561   0.8717   0.6721
  -1.000   0.1234   0.00788   0.00320  -0.0534   0.8458   0.7872
  -0.500   0.1733   0.00774   0.00319  -0.0506   0.8177   0.8795
   0.000   0.2342   0.00784   0.00322  -0.0503   0.7870   0.9405
   0.500   0.3116   0.00804   0.00322  -0.0540   0.7537   0.9744
   1.000   0.4022   0.00822   0.00318  -0.0611   0.7173   0.9935
   1.500   0.4678   0.00836   0.00311  -0.0633   0.6797   1.0000
   2.000   0.5151   0.00855   0.00311  -0.0616   0.6449   1.0000
   2.500   0.5625   0.00880   0.00319  -0.0599   0.6117   1.0000
   3.000   0.6099   0.00909   0.00334  -0.0582   0.5799   1.0000
   3.500   0.6573   0.00942   0.00354  -0.0564   0.5487   1.0000
   4.000   0.7045   0.00977   0.00378  -0.0546   0.5170   1.0000
   4.500   0.7517   0.01015   0.00406  -0.0528   0.4842   1.0000
   5.000   0.7990   0.01057   0.00439  -0.0510   0.4494   1.0000
   5.500   0.8461   0.01104   0.00477  -0.0493   0.4116   1.0000
   6.000   0.8927   0.01157   0.00521  -0.0476   0.3665   1.0000
   6.500   0.9375   0.01230   0.00575  -0.0456   0.3124   1.0000
   7.000   0.9798   0.01329   0.00648  -0.0435   0.2497   1.0000
   7.500   1.0193   0.01458   0.00744  -0.0410   0.1842   1.0000
   8.000   1.0566   0.01606   0.00863  -0.0384   0.1291   1.0000
   8.500   1.0925   0.01761   0.01000  -0.0355   0.0958   1.0000
   9.000   1.1257   0.01924   0.01152  -0.0323   0.0772   1.0000
   9.500   1.1579   0.02080   0.01311  -0.0289   0.0653   1.0000
  10.000   1.1824   0.02255   0.01487  -0.0245   0.0576   1.0000
  10.500   1.2048   0.02448   0.01685  -0.0202   0.0518   1.0000
  11.000   1.2269   0.02656   0.01903  -0.0163   0.0472   1.0000
  11.500   1.2467   0.02899   0.02159  -0.0127   0.0434   1.0000
  12.000   1.2650   0.03174   0.02441  -0.0095   0.0405   1.0000
